ID;NumAvaria;Avaria;AvariaAlimentadores;AvariaInverters;AvariaMigs;AvariaPontos;AvariaRetificadores;AvariaTransformadores;AvariaPlasmas;AvariaRefrig
1;Avaria1;;;Transistor IGBT;Ventilador;;;;;
2;Avaria2;;;Filtro MS;Cabo interligaçao;;;;;
27;Avaria3;;;Amperimetro;Controlador;Controlador;;;Outros;Bomba de água
28;Avaria4;;;Sub. Painel Fr;Interface;;;;Reparação de tocha;Radiador
29;Avaria5;;;Sub. Painel Tr;Motor do fio;;;;;
30;Avaria6;;;Diodos secundario;Ponte rectificadora;;;;;
31;Avaria7;;;Pistas e outros componentes;;;;;;
32;Avaria8;;;Circuito HF;;;;;;
33;Avaria9;;;Sem defeito;Circuito controlo frontal display;;;;;
34;Avaria10;;;Outros;Electroválvula;;;;;
35;Avaria11;;;Circuito frontal;Outros;;;;;
36;Avaria12;;;Circuito fonte de alimentação;Circuito de potencia;;;;;
37;Avaria13;;;Potenciometro;Indutância;;;;;
38;Avaria14;;;Sub. Módulo;Sem defeito;;;;;
39;Avaria15;;;Ventilador;Radiador;;;;;
40;Avaria16;;;Encoder;Transformador auxiliar;;;;;
41;Avaria17;;;Atualização firmware;Comutador 7 Pos;;;;;
42;Avaria18;;;Tocha;Comutador 4 Pos;;;;;
43;Avaria19;;;;;;;;;
44;Avaria20;;;Circuito controlo;;;;;;
45;Avaria21;;;Sensor hall;;;;;;
46;Avaria22;;;;;;;;;
47;Avaria23;;;;;;;;;
48;Avaria24;;;;;;;;;
49;Avaria25;;;Flat Cable;;;;;;
50;Avaria26;;;Cabo de alimentação;;;;;;
51;Avaria27;;;;;;;;;
52;Avaria28;;;Transf. queimado;;;;;;
53;Avaria29;;;Ponte rectificadora;;;;;;
54;Avaria30;;;Subst. Electrovalvula;;;;;;
